Pull Request Number,Title,Merged,Time to Merge,Comments,Review Comments,Lines of Code Changed
671,Bump spotbugs from 4.1.4 to 4.2.0,Yes,"3 days, 13:21:19",1,0,2
670,[LANG-1622] Javadoc of BooleanUtils incorrectly refers to another method,Yes,"1 day, 3:01:43",1,0,6
669,Adding method to convert and format date,No,,3,0,20
668,[LANG-1622] Javadoc of some methods incorrectly refers to another method,Yes,07:36:47,1,0,12
667,[LANG-1622] Corrected reference to right methods.,Yes,"2 days, 8:25:08",0,1,18
666,[LANG-1621] - Add JAVA_VM_COMPRESSED_MODE,No,,4,0,29
665,Bump checkstyle from 8.37 to 8.38,Yes,"5 days, 9:34:15",1,0,2
664,[LANG-1620] - refine StringUtils.lastIndexOfIgnoreCase,Yes,"6 days, 8:32:10",4,0,10
663,[LANG-1619] Refine StringUtils.abbreviate,Yes,"6 days, 9:25:07",1,0,15
662,Bump junit-pioneer from 1.0.0 to 1.1.0,Yes,"9 days, 10:17:11",1,0,2
661,[LANG-1618] - TypeUtils. containsTypeVariables does not support GenericArrayType,Yes,09:03:28,1,0,48
660,Bump maven-pmd-plugin from 3.13.0 to 3.14.0,Yes,"11 days, 10:21:59",1,0,2
659,LANG-1617 - Improve/clean math package,No,,1,2,12
658,[LANG-1616] - Add lastIndexOfAnyChar,No,,2,0,120
657,[LANG-1524] : Added cycle detection check in toString for classes,No,,8,2,40
656,[LANG-1524] : Added cycle detection check in toString for classes,No,,0,0,42
655,[LANG-1524] - Added cycle detection check in toString for classes,No,,0,0,43
654,[LANG-1533] - RandomStringUtils.random() should not include \u0000 or control characters,No,,2,1,1
653,LANG-1345 - Add methods to enhance non-empty strings,No,,1,0,68
652,[LANG-1345] Add methods to enhance non-empty strings,No,,0,0,69
651,[LANG-1615] - ArrayUtils contains && indexOf fails to handle Float.NaN,Yes,14:15:30,2,2,28
650,LANG-1359 - add getStopTime to StopWatch,No,,1,1,32
649,[LANG-1231] - StringUtils#indexOfAny() methods with start position argu…,No,,1,8,6407
648,[LANG-1326] - StringUtils#isAllEmpty and #isAllBlank should return fals…,No,,4,0,23
647,[LANG-1541] - ArrayUtils.contains() fails to handle Double.NaN,No,,3,3,13
646,[LANG-1345] - Add methods to enhance non-empty strings,No,,2,5,69
645,[LANG-1614] - Split fixed-length elements,No,,1,2,69
644,[LANG-1231] - StringUtils#indexOfAny() methods with start position argu…,No,,1,6,49
643,[LANG-1420] - TypeUtils.isAssignable returns wrong result for GenericAr…,No,,2,1,23
642,[LANG-1613] - BigDecimal is created when you pass it the min and max values,No,,2,0,5
641,[LANG-1609] - Case-insensitive variants for startsWithAny and endsWithAny,No,,7,0,105
640,[LANG-1612] testGetAllFields and testGetFieldsWithAnnotation sometimes fail,No,,2,0,15
639,Bump actions/checkout from v2.3.3 to v2.3.4,Yes,"2 days, 8:47:10",1,0,2
638,Fix Javadoc for SystemUtils.isJavaVersionAtMost(),Yes,"15 days, 8:25:25",2,0,2
637,Bump checkstyle from 8.36.2 to 8.37,Yes,"4 days, 8:16:46",1,0,2
636,LANG-1610: Fix StringUtils.unwrap throws StringIndexOutOfBoundsException,Yes,"19 days, 23:41:03",2,0,3
635,[LANG-1593] - Common behaviour for StringUtils join APIs when called with char or String delimiter,No,,5,2,485
634,NumberUtilsTest - incorrect types in min/max tests,Yes,00:25:57,1,2,54
633,Close/flush the `OutputStream` before calling `toByteArray()` on underlying `ByteArrayOutputStream`,No,,2,0,20
632,Bump spotbugs-maven-plugin from 4.1.3 to 4.1.4,Yes,"4 days, 8:58:28",2,0,2
631,More test coverage for CharSequenceUtils.,Yes,"7 days, 23:31:46",1,0,24
630,[LANG-1609] Case-insensitive variants for startsWithAny and endsWithAny.,No,,2,1,95
629,[LANG-1608] Include junit-bom for dependency version alignment.,Yes,00:30:56,2,0,13
628,Bump biz.aQute.bndlib from 5.1.2 to 5.2.0,Yes,"4 days, 8:16:05",1,0,2
627,Bump spotbugs from 4.1.3 to 4.1.4,Yes,"4 days, 8:17:23",1,0,2
626,Bump jmh.version from 1.21 to 1.26,No,,2,0,2
625,Bump junit-pioneer from 0.9.2 to 1.0.0,Yes,"13 days, 8:27:14",1,0,2
624,Bump junit-pioneer from 0.9.0 to 0.9.2,Yes,09:17:21,2,0,2
623,Bump spotbugs-maven-plugin from 4.0.4 to 4.1.3,Yes,"1 day, 8:36:28",2,0,2
622,Bump actions/setup-java from v1.4.2 to v1.4.3,Yes,08:04:02,1,0,2
621,Bump checkstyle from 8.36 to 8.36.2,Yes,"3 days, 7:35:31",1,0,2
620,Bump spotbugs from 4.1.2 to 4.1.3,Yes,"6 days, 8:23:45",1,0,2
619,Bump actions/checkout from v2.3.2 to v2.3.3,Yes,"7 days, 8:20:49",1,0,2
618,Bump junit-jupiter from 5.6.2 to 5.7.0,Yes,"17 days, 8:25:27",1,0,2
617,Bump checkstyle from 8.36 to 8.36.1,No,,2,0,2
616,Bump jmh.version from 1.21 to 1.25.2,No,,2,0,2
615,[LANG-1606] StringUtils.countMatches returns incorrect value while handling intersecting substrings,No,,2,0,8
614,Bump checkstyle from 8.35 to 8.36,Yes,"8 days, 9:53:36",1,0,2
613,Bump jmh.version from 1.21 to 1.25.1,No,,2,0,2
612,Bump actions/setup-java from v1.4.0 to v1.4.2,Yes,"4 days, 9:36:44",1,0,2
611,[LANG-1601] Refine performance of fraction.pow,No,,4,0,156
610,[LANG-1600] Restore handling of collections for non-JSON ToStringStyle,Yes,"6 days, 2:47:40",1,0,319
609,Bump spotbugs from 4.1.1 to 4.1.2,Yes,"11 days, 9:43:48",0,0,2
608,Takari maven wrapper,No,,2,0,646
607,[LANG-1596] ArrayUtils.toPrimitive(Object) does not support boolean and other types,Yes,11:08:30,1,0,25
606,LANG-1598 Use JSR-305 for Null-Analysis,No,,1,0,278
605,Bump jmh.version from 1.21 to 1.25,No,,2,0,2
604,Bump actions/setup-java from v1.4.0 to v1.4.1,No,,2,0,2
603,[LANG-1595] Add ArrayUtils methods that accept a Predicate.,No,,2,1,257
602,Made String Reverse Method Faster,No,,7,0,13
601,Bump actions/checkout from v2.3.1 to v2.3.2,Yes,10:10:20,1,0,2
600,Bump junit-pioneer from 0.8.0 to 0.9.0,Yes,"4 days, 9:29:01",1,0,2
599,Bump jmh.version from 1.21 to 1.24,No,,2,0,2
598,Bump commons-parent from 51 to 52,Yes,"1 day, 8:21:41",1,0,2
597,Bump junit-pioneer from 0.7.0 to 0.8.0,Yes,06:49:48,1,0,2
596,Bump spotbugs from 4.0.6 to 4.1.1,Yes,07:39:17,1,0,2
595,Add method to remove all numbers from a String ,No,,6,4,43
594,Bump checkstyle from 8.34 to 8.35,Yes,"4 days, 7:17:06",1,0,2
593,Bump spotbugs-maven-plugin from 4.0.0 to 4.0.4,Yes,23:17:30,3,0,2
592,Bump biz.aQute.bndlib from 5.1.1 to 5.1.2,Yes,23:57:43,2,0,2
591,Bump jmh.version from 1.21 to 1.23,No,,1,0,2
590,Bump exec-maven-plugin from 1.6.0 to 3.0.0,Yes,"620 days, 0:14:59",3,0,2
589,Bump junit-pioneer from 0.6.0 to 0.7.0,Yes,"1 day, 1:04:44",3,0,2
588,Bump actions/checkout from v1 to v2.3.1,Yes,"1 day, 0:50:33",1,0,2
587,Enable Dependabot,Yes,00:06:29,0,0,10
586,"[LANG-1592] Correct implementation of RandomUtils.nextLong(long, long)",Yes,"2 days, 0:23:42",1,0,50
585,Remove redudant argument from substring call,Yes,03:56:30,6,0,21
584,Removing uncessary unboxing at several places,No,,2,0,48
583,[LANG-1544] Fixes null pointer exception in distance method in MethodUtils,No,,5,3,4
582,Remove redundant parameter: str.length(),No,,6,0,2
581,ContextedException Javadoc add missing semicolon,Yes,"47 days, 18:59:24",1,0,4
580,Add StringUtils.startsWithIgnoreCase,No,,3,0,26
579,Speed up Travis build,No,,4,0,11
578,Improve reproducibility of generated JARs,No,,20,3,5
577,[LANG-1588] performance refine for StringUtils.center,No,,5,6,162
576,[LANG-1587] refine StringUtils.strip,No,,3,0,308
575,[LANG-1586] refine StringUtils.wrap,No,,3,0,308
574,[LANG-1585] refine performance of StringUtils.normalizeSpace,No,,4,0,209
573,[LANG-1584] Refine StringUtils.isNumericSpace,Yes,"159 days, 8:55:14",2,0,9
572,[LANG-1583] refine StringUtils.isMixedCase ,No,,4,0,219
571,[LANG-1582] refine StringUtils.indexOfDifference ,No,,3,0,18
570,[LANG-1581] refine StringUtils.getFuzzyDistance,No,,2,0,12
569,[LANG-1580] Refine StringUtils.deleteWhitespace,Yes,"159 days, 10:57:33",2,0,3
568,[LANG-1579] refine StringUtils.convertRemainingAccentCharacters,No,,2,0,6
567,[LANG-1578] refine StringUtils.compare,No,,3,0,212
566,[LANG-1577] refine StringUtils.chop,No,,3,0,166
565,[LANG-1576] refine StringUtils.chomp,No,,18,25,209
564,add passing varargs Supplier to ObjectUtils.getIfNull instead of Supplier single param,No,,5,0,54
563,[LANG-1575] refine StringUtils.capitalize,No,,3,0,211
562,[LANG-1574] Refine CharSequencesUtils.toCharArray,No,,14,0,505
561,[LANG-1543] Implemented feature of writing Maps into JSON,No,,2,0,116
560,[LANG-1572] green implementation CharSequenceUtils.indexOf,No,,9,9,299
559,Stamped lock visitor,Yes,"12 days, 22:22:09",3,0,1175
558,refine test output for FastDateParserTest,Yes,"6 days, 17:08:17",4,0,45
557,fix checkstyles.,No,,1,0,59
556,[LANG-1567] Fix Javadocs for EqualsBuilder#setTestRecursive(),Yes,"7 days, 3:23:21",1,0,8
555,Add binary compatibility check to Maven default goal,Yes,10:33:38,2,0,6
554,fix checkstyle.,Yes,00:25:38,2,0,2
553,[LANG-1570] JavaVersion enum constants for Java 14 and 15.,Yes,02:47:18,1,0,24
552,(doc): Use ArrayUtils::isArrayIndexValid method in ArrayUtils::get.,Yes,01:58:51,1,0,8
551,[LANG-1550] Optimize ArrayUtils::isArrayIndexValid method.,Yes,"11 days, 18:41:46",1,7,13
550,[LANG-1565] Change removeLastFieldSeparator to use endsWith,Yes,"13 days, 5:18:47",4,0,15
549,[LANG-1564] Use Collections.singletonList insteadof Arrays.asList when there be only one element.,Yes,"12 days, 6:55:03",1,0,10
548,[LANG-1563] use StandardCharsets.UTF_8,Yes,"12 days, 6:50:49",1,0,11
547,[LANG-1562] Use Math.max and min,Yes,"12 days, 6:56:05",1,0,28
546,[LANG-1561] use List.sort instead of Collection.sort,Yes,"12 days, 6:53:06",1,0,10
545,[LANG-1560] Refine Javadoc,Yes,"12 days, 7:16:17",1,0,9
544,[LANG-1559] Convert Sting to StringBuilder in some test code.,Yes,"12 days, 7:34:04",1,0,24
543,[LANG-1558] Simplify if as some conditions are covered by others,Yes,"12 days, 7:35:23",1,0,4
542,"[LANG-1557] Change a Pattern to a static final field, for not letting it compile each time the function invoked.",Yes,"13 days, 6:07:51",1,2,8
541,[LANG-1556] Use Java 8 lambdas and Map operations.,Yes,"12 days, 14:56:14",4,0,32
540,"[LANG-1555] Ignored exception `ignored`, should not be called so",Yes,"12 days, 7:44:18",1,0,4
539,[LANG-1554] Fix typos,Yes,"12 days, 7:43:05",1,0,44
538,asList,No,,0,0,1672
537,[LANG-1553] Change array style from `int a[]` to `int[] a`,Yes,"12 days, 7:51:14",1,0,104
536,[LANG-1552] Change from addAll to constructors for some List,Yes,"12 days, 7:56:11",1,0,3
535,[LANG-1549] implement TODO in CharSequenceUtils.lastIndexOf : remake it.,No,,3,0,187
534,[LANG-1548] split regionMatches for better performance,No,,8,2,572
533,[LANG-1547] fix code smells; fix typos,No,,8,0,322
532,reformat Locks and LocksTest for passing Checkstyle,No,,8,0,189
531,refine travis-ci scripts,Yes,"44 days, 8:55:24",1,0,6
530,LANG-1542: ToStringBuilder.reflectionToString - Wrong JSON format for List of enums,No,,4,7,148
529,[LANG-1545] CharSequenceUtils.regionMatches is wrong dealing with Georgian.,Yes,"26 days, 0:38:20",9,3,34
528,Combine two if conditions in ClassUtils.isAssignable().,No,,2,0,13
527,Create prueba.txt,No,,1,0,1
526,Update Jenkinsfile,No,,1,0,2
525,Correct Javadocs of methods that use Validate.notNull() and replace some uses of Validate.isTrue() with Validate.notNull().,Yes,"79 days, 23:38:34",3,0,94
524,[LANG-1540] Add startsAndEndsWith() methods to StringUtils.,No,,1,0,254
523,Rewrite the finding of matching Locales in LocaleUtils using the Streams API.,No,,0,5,31
522,[LANG-1539] Add allNull() and anyNull() methods to ObjectUtils.,Yes,"81 days, 12:46:14",5,4,85
521,Simplify some if statements in StringUtils.,Yes,20:12:24,1,3,20
520,Implement Utils classes in Kotlin.,No,,1,4,1723
519,Alter assertions in CharUtilsTest to get the class of CharUtils instead of BooleanUtils.,Yes,05:56:34,2,0,4
518,(Javadoc) Fix return tag for throwableOf*() methods,Yes,"1 day, 8:44:51",1,5,8
517,Simplify null checks in Pair.hashCode() using Objects.hashCode().,Yes,"2 days, 14:41:16",1,0,3
516,Simplify null checks in Triple.hashCode() using Objects.hashCode().,Yes,"2 days, 21:16:25",2,0,4
515,Remove unnecessary unboxing in BooleanUtils.,No,,6,0,16
514,[LANG-1537]: Simplify a null check in the private replaceEach() method of StringUtils.,Yes,"3 days, 5:44:22",2,2,3
513,Fix formatting of isAnyBlank() and isAnyEmpty().,Yes,"214 days, 5:40:07",1,0,32
512,[LANG-1534] Replace some usages of the ternary operator with calls to Math.max() and Math.min(),Yes,"3 days, 8:26:47",2,0,7
511,Fix some spelling and grammar issues in the StringUtils Javadoc.,Yes,03:45:43,2,0,18
510,[LANG-1535] Add containsAnyIgnoreCase() method to StringUtils.,No,,2,2,57
509,Update DurationFormatUtils.java,No,,2,0,6
508,LANG-1481 Add StringUtils.split() methods with String[] input.,No,,3,0,92
507,Fix Javdoc for StringUtils.appendIfMissingIgnoreCase(),Yes,04:19:25,1,0,2
506,LANG-1530 another method like formatDurationWords with ,No,,3,4,267
505,[LANG-1528] StringUtils.replaceEachRepeatedly gives IllegalStateException,Yes,"81 days, 14:53:39",2,0,40
504,LANG-1527: Remove an redundant argument check in NumberUtils,Yes,"1 day, 20:51:23",0,0,7
503,[LANG-1523] Avoid unnecessary allocation in StringUtils.wrapIfMissing,No,,4,0,4
502, Added 1 and 0 in toBooleanObject(final String str) ,Yes,00:42:04,3,0,20
501,Expand Streams functionality,No,,2,0,6049
500,StreamsTest junit-jupiter,Yes,"91 days, 15:01:36",4,0,170
499,LANG-1521 spring clean .gitignore,No,,2,0,47
498,LANG-1520 spring clean .gitignore,No,,3,0,47
497,Annotated Fraction.java,No,,1,0,24
496,LANG-1523: Avoid unnecessary allocation in StringUtils.wrapIfMissing.,Yes,"3 days, 23:57:21",5,4,35
495,"LANG-1519 Add zero, positive & negative util methods",No,,13,3,1029
494,[LANG-1518] MethodUtils.getAnnotation() with searchSupers = true does not work if super is generic,Yes,"3 days, 3:20:56",9,2,57
493,Reuse own code in Functions.java,Yes,"1 day, 10:08:27",2,0,48
492,style(org.apache.commons.lang3): rename method from removeAllOccurenc…,No,,2,6,200
491,Removed unused imports,No,,1,1,2227
490,Use Javadoc {@code} instead of pre tags.,Yes,"14 days, 0:53:24",1,0,24
489,Code simplification using the methods that we have instead,No,,4,0,603
488,more unnecessary parentheses removed,No,,2,0,6
487,unneccessary parentheses removed,No,,2,0,2
486,ExceptionUtilsTest to 100%,Yes,"14 days, 1:40:52",1,0,32
485,[LANG-1514] make test more stable by wrapping assertions in hashset,Yes,"25 days, 4:58:04",4,0,3
484,LANG-1513 ObjectUtils: Get first non-null supplier value,No,,2,0,62
483,[LANG-1509] Add ObjectToStringComparator.,Yes,23:41:09,6,0,156
482,LANG-1504 - Adding labels to split StopWatch feature,No,,10,5,343
481,[LANG-1501] Sort fields in ReflectionToStringBuilder for deterministic order,Yes,03:57:40,2,0,53
480,LANG-1500 | Test may fail due to a different order of fields returned by reflection api,Yes,00:59:03,1,0,11
479,StringUtil Abbreviation method fixed,No,,0,4,384
478,StringUtils.abbreviate handles empty abbrevMarker,No,,1,2,11
477,Lang 1463: StringUtils abbreviate returns String of length greater than maxWidth,Yes,"2 days, 5:32:42",1,4,15
476,StringUtils.abbreviate handles empty abbrevMarker,No,,0,0,387
475,LANG-1495 Add EnumUtils getEnum() methods with default values,Yes,15:28:21,1,4,70
474,add FastSplitUtils,No,,1,0,1671
473,[LANG-1466] excludeNullValues param in reflectionToString method,No,,2,0,39
472,Add more test inputs for ArrayUtils.toMap() method,Yes,"1 day, 0:08:23",2,4,12
471,[LANG-1177] Added indexesOf methods and simplified removeAllOccurences,Yes,"11 days, 9:48:06",3,10,1137
470,Boolean utils limited cleanup,No,,4,3,10
469,BooleanUtils Javadoc,Yes,"66 days, 2:26:01",1,0,110
468,Boolean utils little cleanup,No,,3,0,172
467,AnnotationUtils little cleanup,Yes,"1 day, 6:13:06",1,0,20
466,Functions Javadoc,Yes,"67 days, 22:00:11",2,6,24
465,Functions javadoc extended a bit,No,,1,0,185
464,Support Scope,No,,0,0,873
463,Code refactor to simplify Functions and new tests,Yes,"1 day, 9:53:58",1,0,135
462,General Code Cleanup,No,,2,12,2689
461,Lang 1491,No,,13,0,6538
460,Lang-1465: Fix the ZZ time zone format,No,,3,0,20
459,(doc): Document public RandomStringUtils exploit,No,,11,10,6
458,[LANG-1426] Corrected usage examples in Javadocs,Yes,"9 days, 23:39:30",8,0,18
457,WIP [LANG-1490] - Creates DiffResultView and DiffView classes,No,,3,3,221
456,[LANG-1489] Add null-safe APIs as StringUtils.toRoot[Lower|Upper]Case(String),Yes,21:50:00,1,0,63
455,LANG-1484: Allow decimal point at the end of the String,No,,7,0,5
454,Make diff result extends pair,No,,6,0,224
453,[LANG-1487] Add ClassLoaderUtils with toString() implementations.,Yes,"2 days, 22:03:29",1,0,103
452,"[LANG-1486] Generify builder classes Diffable, DiffBuilder, and",Yes,20:17:47,2,0,159
451,LANG-1485 : Add getters for lhs and rhs objects in DiffResult,Yes,02:10:43,2,9,32
450,Add and use IllegalArgumentExceptions,No,,8,27,217
449,Update documentation related to the issue LANG-696,Yes,"42 days, 6:29:45",2,2,205
448,Lang 1482,No,,2,4,256
447,"Fix checkstyle violations (tabs, missing spaces after commas, missing javadocs)",Yes,00:30:03,0,0,229
446,LANG-1480 getAbbreviatedName refactored to create appropriate length …,Yes,"51 days, 7:14:15",9,26,163
445,LANG-1478 class name abbreviation fix,No,,4,0,4
444,LANG-1478,No,,1,0,11
443,Optimize string split methods: 1. Use ThreadLocal to make reuse of th…,No,,13,9,185
442,LANG-1474 documentation correction,No,,6,4,8
441,[LANG-1475] Fix unwrap StringIndexOutOfBoundsException,No,,1,2,21
440,Fix static code issues,No,,3,4,1473
439,Improvement JavaVersion get method,Yes,"7 days, 17:24:23",6,0,7
438,Add files via upload,No,,3,0,0
437,Add GenericArrayType support to TypeUtils.containsTypeVariables,No,,5,0,48
436,LANG-1465: Fix for the time zone format -0530 should be accepted for …,No,,0,0,12
435,Adding power support,Yes,"5 days, 0:55:41",2,0,4
434,Fixed a problem when parsing Chinese using the ToStringStyle.JSON_STYLE,No,,2,2,29
433,Travis Java 13,Yes,08:44:57,0,0,13
432,Annotating base classes,No,,0,0,15113
431,adding power support,No,,7,0,3
430,Add ArrayUtils.isSameLength() to compare more array types,No,,6,0,2465
429,"ArrayUtils: merge 8 isSameLength,isEmpty,isNotEmpty into one function each.",No,,1,0,291
428,[LANG-1546] remove <encoding> and <docEncoding> and use inherited values from commons-parent,No,,8,4,2
427,LANG-1460: (doc) (trivial) correct release year for v3.9 in release-history.xml,No,,3,0,2
426,Add function public static <T> T[] fillNew(T[] a),No,,1,0,0
425,RandomUtils : comment error,Yes,"90 days, 11:39:46",1,1,32
424,"Annotated packages exception, builder, reflect and partially time. ",No,,1,0,3673
423,LANG-1406: StringIndexOutOfBoundsException in StringUtils.replaceIgnoreCase,No,,5,0,12
422,LANG-1406: avoid StringIndexOutOfBounds exceptions for some cases of …,No,,5,2,58
421,revise java-doc error,Yes,09:37:46,3,2,4
420,LANG-1453: using toUpperCase instead of toLowerCase solve the problem,No,,9,1,7
419,Lang 1456 either,No,,2,0,753
418,Changing switch statement to if/else statement for greater clarity,Yes,"11 days, 9:52:57",2,0,5
417,"(doc) Fixing couple of dangling javadocs, converted to comments.",Yes,08:56:50,1,0,7
416,[LANG-1498] Add support of lambda value evaluation for defaulting methods,No,,8,3,171
415,LANG-1443: Add more SystemUtils.IS_JAVA_XX variants,Yes,10:23:22,2,5,178
414,LANG-1369: Formatted and Paramaterized Exception Classes,No,,1,0,808
413,Fix javadoc in wrapIfMissing,Yes,08:30:46,2,0,48
412,(doc) Fix javadoc for 'startIndex' parameter of StringUtils.join() methods,Yes,00:16:22,1,0,20
411,LANG-1437: Remove redundant if statements in join methods,Yes,"167 days, 22:15:02",1,0,69
410,Add proposal for Jenkins Pipeline,Yes,"19 days, 23:24:45",1,5,115
409,Consolidate the StringUtils.equals and equalsIgnoreCase methods.,Yes,05:12:26,3,0,40
408,LANG-1435: Implemented defaultIfNull method that uses a supplier for default value,No,,5,0,40
407,LANG-1433: MethodUtils will throw a NPE if invokeMethod() is called for a var-args method,Yes,"362 days, 5:06:24",0,0,68
406,[LANG-1407] DurationUtils - methods for rounding duration ,No,,7,0,485
405,ensure java version are supported even when not in our enum,No,,1,1,9
404,Assertion cleanup,No,,3,0,1606
403,Fix CI issues in Functions and FunctionsTest,Yes,02:56:35,1,0,1046
402,JUnit Jupiter upgrade 5.4.0,No,,2,0,453
401,Lang 1424 Checked Functions,No,,1,2,911
400,Close/flush the `OutputStream` before calling `toByteArray()` on underlying `ByteArrayOutputStream`,No,,2,0,4
399,Synchronize before looping over synchronized collection,No,,5,0,8
398,Add ComparableUtils,Yes,"347 days, 22:39:03",29,8,494
397,"Replaces the given String, with the String which is nested in between two Strings. ",No,,1,0,31
396,"Travis: ""openjdk-ea"" now means Java 13, so add Java 12 to JDKs to bui…",No,,1,0,2
395,"Replaces the given String, with the String which is nested in between two Strings.",No,,9,8,31
394,Replace String for reports,No,,0,0,35
393,Replace String,No,,1,0,37
392,LANG-1410: eliminate one unnecessary local int variable and add more tests,No,,2,14,56
391,Adding junits for JsonToStringStyle,Yes,"78 days, 3:11:59",8,0,179
390,Adding junits for StandardToStringStyle,No,,6,0,22
389,(doc) StandardToStringStyle removing unnecessary method overrides,No,,2,0,513
385,WIP: CheckedFunction utils,No,,1,1,112
384,"Travis: Stop building with Java 9 and 10, as these are superseded by …",Yes,"3 days, 18:05:02",1,0,2
383,Make whitespace use consistent and add checkstyle rules to enforce it,Yes,"2 days, 6:09:27",1,0,1815
382,Proposal: Duration Utils - round value of the duration in  a given unit,No,,1,0,557
381,LANG-1406 StringIndexOutOfBoundsException in StringUtils.replaceIgnor…,No,,5,2,20
380,fix javadoc typo,Yes,01:03:14,2,0,2
379,add tests for use ImmutableTriple as key in java.util.HashMap and java.util.TreeMap,No,,5,0,71
378,add more test cases to use ImmutablePair class as key for java.util.HashMap and java.util…,No,,2,0,35
377,LANG_1407 add DurationUtils,No,,1,0,557
376,Test cleanup,No,,4,0,7841
375,JUnit Jupiter migration completion,No,,2,0,4926
374,Update time tests to JUnit Jupiter,Yes,19:36:07,4,2,1941
373,Update mutable tests to JUnit Jupiter,Yes,00:33:13,2,0,183
372,Update math tests to JUnit Jupiter,Yes,09:32:58,2,0,934
371,Update tuple tests to JUnit Jupiter,Yes,00:28:49,2,0,66
370,Update text tests to JUnit Jupiter,Yes,01:58:03,2,0,387
369,Update reflect tests to JUnit Jupiter,Yes,07:53:18,2,0,305
368,Update exception tests to JUnit Jupiter,Yes,02:04:29,2,0,108
367,Update event tests to JUnit Jupiter,Yes,20:23:29,2,0,69
366,Update concurrent tests to JUnit Jupiter,Yes,00:30:15,2,0,728
365,Travis: Also build with openjdk-ea,Yes,01:26:14,1,0,5
364,LANG_1407 Duration Utils,No,,0,0,317
363,Update builder tests to JUnit Jupiter,No,,3,0,353
362,Add a check to StringUtils.repeat() for large length repeat value,No,,8,14,17
361,Add check to StringUtils.repeat() for large length results,No,,1,0,15
360,Lang 1407,No,,0,0,317
359,these 2 links seem to be broken,No,,2,0,4
358,"ClassUtils.getBaseClasses(desiredBase, packageName)",No,,4,27,169
357,Proposal for LANG-1421,No,,2,6,327
356,Move combine.children to manifestEntries in order to have right entries in MANIFEST.MF,No,,1,0,4
355,Use @ParameterizedTest to iterate over available locales,Yes,17:57:25,2,0,60
354,Convert tests for Validate to @Nested test,Yes,"1 day, 7:31:01",5,0,2696
353,WIP: LANG-1416: Update tests to JUnit5 via @boyarsky's converter,No,,8,0,23187
352,LANG-1416: Update to JUnit 5,Yes,01:02:09,2,0,46
351,LANG-1417: Add @FunctionalInterface to ThreadPredicate and ThreadGrou…,Yes,00:19:25,1,0,11
350,Replace FindBugs with SpotBugs,Yes,"9 days, 3:03:58",1,0,23
349,LANG-1417: Deprecate ThreadPredicate and ThreadGroupPredicate in favo…,No,,3,0,270
348,Explicit type parameters can be removed,Yes,"2 days, 1:40:28",1,0,72
347,Looks like Java 11 no longer fails the build,Yes,13:48:25,1,0,3
346,LANG-1415: Update Java Language requirement to 1.8,Yes,10:13:22,1,0,22
345,add jvmLaunchers,No,,6,0,600
344,Adding method to remove special characters,No,,1,0,34
343,LANG-1341 update java doc to clarify use case of appendSuper(),No,,2,3,13
342,LANG-1411: Add empty checks to ObjectUtils,Yes,"3 days, 11:09:37",2,0,121
341,Update maven-pmd-plugin to latest version,Yes,23:06:55,1,0,2
340,[LANG-1406]  StringIndexOutOfBoundsException in StringUtils.replaceIgnoreCase,No,,6,7,72
339,[LANG-1354] Added Methods to FieldUtils to Return Non-Synthetic Fields From a Class,No,,2,0,174
338,LANG-1405 Remove check for Java 1.5,No,,1,0,4
337,LANG-1404 BooleanUtils.toBoolean(Integer) method added,No,,2,0,33
336,LANG-1402: Null/index safe get methods for ArrayUtils,Yes,"33 days, 3:07:15",4,9,31
335,LANG-1400: Add StringUtils.mask() function,No,,11,0,80
334,Code refactoring and cleaning,Yes,"7 days, 12:13:53",8,2,313
333,(doc) Fix typos in classes of tuple package,Yes,03:36:42,1,0,12
332,Add methods allowing masking of Strings,No,,8,0,251
331,LANG-1380: FastDateParser too strict on abbreviated short month symbols,No,,6,0,32
330,LANG-1397: WordUtils.wrap throws StringIndexOutOfBoundsException when wrapLength is Integer.MAX_VALUE,No,,5,0,10
329,"Travis: Add Java 10 ""Oracle JDK"", Java 10 ""OpenJDK"", Java 11 ""Oracle …",Yes,"11 days, 0:30:59",3,0,41
328,[LANG-1238] Add overloaded methods to StringUtils with Pattern argument,No,,3,0,0
327,(doc) Remove invalid example of `lastIndexOf` from javadoc,No,,5,0,1
326,[LANG-1391] Improve Javadoc for StringUtils methods,No,,1,0,9
325,LANG-1392 methods for getting first non empty or non blank value,No,,5,0,94
324,LANG-1390: StringUtils#join() for List<?>,No,,2,0,114
323,Add comparison methods to ObjectUtils,No,,4,0,124
322,(doc) Update GitHub PR help link,No,,2,0,2
321,SerializationUtilsTest cleanup,No,,3,0,124
320,Initial implementation of Span for LANG-1387,No,,0,0,1240
319,Contribution of Span implementations for LANG-1387,No,,1,0,1211
318,clean code,No,,3,0,48
317,Predictable randomness in shuffle tests,No,,2,0,22
316,Remove inequality check from shuffle tests,No,,1,0,10
315,Get boolean value if the size of array is between two integer values,No,,1,0,16
314,LANG-1060 NumberUtils.isNumber assumes number starting with Zero is octal,No,,1,0,56
313,LANG-1060: NumberUtils.isNumber assumes number starting with Zero,No,,5,0,9
312,"LANG-1375: defaultString(str) reuses defaultString(str, defaultStr)",Yes,01:46:49,1,0,4
311,"LANG-1373 Stopwatch based capability for nested, named, timings ",No,,45,5,1324
310,A small mistake in javadoc description.,No,,2,0,2
309,Fix EventCountCircuitBreaker increment batch,No,,10,0,17
